gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
ESPORTSTMNT03/1310493,Greek Regenesis eSports,2020-01-20 19:10:26,1,23638.0,28300.0,488.0,1368.0,1452.0,50.0,4.0,8.0,4.0
ESPORTSTMNT03/1310505,Laughing Coffins,2020-01-20 19:57:34,0,24464.0,27531.0,385.0,-1853.0,-1149.0,-27.0,9.0,11.0,11.0
ESPORTSTMNT03/1310505,WLGaming Esports,2020-01-20 19:57:34,1,26317.0,28680.0,412.0,1853.0,1149.0,27.0,11.0,22.0,9.0
ESPORTSTMNT01/1270334,Sector One,2020-01-20 20:10:39,1,25530.0,29174.0,496.0,2086.0,2072.0,28.0,6.0,12.0,4.0
ESPORTSTMNT01/1270334,Aethra Esports,2020-01-20 20:10:39,0,23444.0,27102.0,468.0,-2086.0,-2072.0,-28.0,4.0,8.0,6.0
ESPORTSTMNT03/1300465,Valorous,2020-01-20 20:53:29,1,23261.0,27695.0,497.0,-1652.0,-687.0,-3.0,2.0,3.0,4.0
ESPORTSTMNT03/1300465,Dark Horse,2020-01-20 20:53:29,0,24913.0,28382.0,500.0,1652.0,687.0,3.0,4.0,6.0,2.0
ESPORTSTMNT03/1310541,Humanoids5,2020-01-20 22:29:15,0,24457.0,28116.0,482.0,-1050.0,-993.0,-18.0,5.0,16.0,5.0
ESPORTSTMNT03/1310541,FroztFire Team,2020-01-20 22:29:15,1,25507.0,29109.0,500.0,1050.0,993.0,18.0,5.0,8.0,5.0
ESPORTSTMNT03/1300496,Furious Gaming Chile,2020-01-20 23:32:44,0,22253.0,27797.0,506.0,-1558.0,137.0,17.0,0.0,0.0,2.0
ESPORTSTMNT03/1300496,Kaos Latin Gamers,2020-01-20 23:32:44,1,23811.0,27660.0,489.0,1558.0,-137.0,-17.0,2.0,8.0,0.0
ESPORTSTMNT03/1300504,Azules Esports Academy,2020-01-21 00:36:45,0,21170.0,26429.0,450.0,-5945.0,-3077.0,-45.0,1.0,2.0,7.0
ESPORTSTMNT03/1300504,Rebirth eSports,2020-01-21 00:36:45,1,27115.0,29506.0,495.0,5945.0,3077.0,45.0,7.0,11.0,1.0
ESPORTSTMNT03/1300519,ACE 1,2020-01-21 01:40:11,0,22512.0,26438.0,449.0,-1389.0,-1949.0,-54.0,4.0,8.0,4.0
ESPORTSTMNT03/1300519,Universidad Católica Esports,2020-01-21 01:40:11,1,23901.0,28387.0,503.0,1389.0,1949.0,54.0,4.0,8.0,4.0
ESPORTSTMNT01/1280429,mCon esports Rotterdam,2020-01-21 16:04:50,1,25212.0,28380.0,474.0,3356.0,2468.0,39.0,7.0,15.0,3.0
ESPORTSTMNT01/1280429,Team Echo Zulu,2020-01-21 16:04:50,0,21856.0,25912.0,435.0,-3356.0,-2468.0,-39.0,3.0,8.0,7.0
